,VIOLATION_TEXT,Unnamed: 14
778,"M.C.L 7.08.160: It is lawful to transport, store, sell, distribute, possess, receive and manufacture beer, as defined in Section 7.08.010, within the geographical area of the metropolitan government, subject to all regulations, limitations and restrictions provided in this title.",
779,"M.C.L 7.08.170: It is unlawful for any authorized wholesaler to sell beer to anyone other than a person, firm, corporation, syndicate or association having been authorized and licensed by any city or county as a retailer by a board duly created for the purpose of licensing retail establishments. Provided, however, if a retail business has posted a beer permit, which on its face appears to be valid, a wholesaler who sells beer to the retail business will not be deemed to have violated the provisions of this section.",
780,"M.C.L 7.08.180: No permit holder, except an authorized wholesaler, may sell or store beer within the metropolitan government area unless such beer has been purchased directly from an authorized wholesaler.",
781,M.C.L 7.08.190: Retailers holding permits to sell beer are authorized to sell and store beer at only the location authorized by the metropolitan beer permit board and specifically designated on their respective permits as the place for which the permit is issued. The sale or storage of beer by a retailer at any place other than the location authorized by the board and specifically named on the face of his permit is prohibited.,
782,M.C.L 7.08.200A: Retailers holding permits from the metropolitan beer permit board are only authorized to deliver beer on the premises for which the permit is issued. The delivery of beer by a retail permit holder at any place other than the premises for which his permit is issued is prohibited. No retail permit holder shall enter into any agreement with any person or conspire with any person to cause beer to be delivered off of the premises for which his permit is issued or at any location other than the one authorized by his permit for the sale of beer. ,
783,M.C.L 7.08.200B: It shall be unlawful for any holder of a retail beer permit to knowingly permit the purchase of beer at his place of business by anyone for resale and delivery to another. Holders of retail beer permits issued by the board are prohibited from selling beer to any person when the retail permit holder knows or should have reason to know that such beer is purchased for resale and delivery off of the premises for which his permit is issued.,
784,"M.C.L 7.08.210: It is unlawful for any retailer holding a permit issued by the metropolitan beer permit board to purchase, accept as a gift or loan, or to receive, swap or exchange, beer, for the purpose of resale, from any person who is not the holder of a valid wholesale permit issued by the board.",
785,"M.C.L 7.08.220: A permit holder must return his permit to the board within fifteen days of termination of the business, change in ownership, relocation of the business or change of the businesses name; provided that, regardless of the failure to return a beer permit, a permit shall expire upon termination of the business, change in ownership, relocation of the business or change of the business's name.",
786,"M.C.L 7.08.230A: A permit shall be valid Only for a single location, except as provided in subsections D and F of this section, and cannot be transferred to another location. A permit shall be valid for all decks, patios and other outdoor serving areas that are contiguous to the exterior of the building in which the business is located and that are operated by the business. However, a permit holder for a business that is subject to the distance requirements set forth in this chapter, at Section 7.08.090, may not sell beer at a deck, patio and/or other outdoor serving area that is built after the date of the issuance of the permit. ",
787,M.C.L 7.08.230B: A permit shall be valid Only for a business operating under the name identified in the application.,
788,"M.C.L 7.08.230C: A permit shall be valid Only for the owner to whom the permit is issued and cannot be transferred to another owner. Should the ownership of a location change, the new owner shall apply for a new permit in accordance with Article I of Chapter 7.08. If the owner is a corporation, a change in ownership shall occur when control of at least fifty percent of the stock of the corporation is transferred to a new owner. ",
789,"M.C.L 7.08.230D: A permit shall be valid Where an owner operates two or more restaurants or other businesses within the same building, the owner may at the owner's discretion operate some or all such businesses pursuant to the same permit. ",
790,M.C.L 7.08.230E: A permit shall be valid for a business can sell beer for both on-premises and off-premises consumption at the same location pursuant to one permit. ,
791,"M.C.L 7.08.230F: A caterer's permit is valid for each catering site, provided that the notice requirements of Section 7.08.105 are met.",
792,"M.C.L 7.08.240A: Any hotel or motel licensed under this chapter may dispense beer to adult guests through locked, in-room units.",
793,M.C.L 7.08.240B: No minor shall be issued or supplied with a key by any hotel or motel for these units.,
794,M.C.L 7.20.010A: No wholesaler or distributor shall maintain more than one place of business unless such wholesaler or distributor has received a separate permit from the beer permit board for each place of business.,
795,"M.C.L 7.20.010B: If a wholesaler or distributor maintains a place of business that is contiguous to another permitted location, the requirement in subsection A. for separate permits from the beer permit board for each location shall not apply.",
796,"M.C.L 7.20.010C: Except sales from trucks by salesmen, no beer shall be transferred from, sold in, stored in, brought to rest in, sold from, possessed in, receipted for at, manufactured, wholesaled, or distributed from any other place, building, or location, except from such building, place, or location identified on the wholesaler, distributor, or manufacturer's beer permit. No beer shall be transferred to a retailer or any other purchaser except from the location identified on the wholesaler, distributor, or manufacturer’s beer permit(s).",
797,"M.C.L Section 7.20.020: In addition to any other penalty which may be imposed, the beer permit board shall have the power, within its discretion, in addition to any other penalty imposed, to suspend for a fixed period of time or to revoke permanently any wholesaler, distributor, retailer or manufacturer's beer permit, for any violation of this article, upon giving written notice to such wholesaler, distributor, retailer or manufacturer, in the manner and by the procedure prescribed by ordinance and the rules and regulations of the beer permit board governing the revocation of permits issued by it.",
